Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
0.023,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
1.524,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
1.686,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,1,,,START
3.675,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,1,,,STOP
3.790,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
10.065,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
10.088,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
11.746,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
12.291,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
19.200,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
19.288,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
20.281,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
22.221,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
22.852,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
22.922,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
24.328,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
25.377,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
27.061,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
30.620,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
32.956,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
33.467,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
36.969,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
37.893,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
39.641,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
40.702,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
41.970,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
43.697,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
44.978,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
49.670,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
51.127,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
51.636,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
52.754,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
53.047,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
62.508,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
62.673,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
64.648,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
64.731,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
69.838,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
69.861,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
70.462,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
70.714,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
86.516,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
86.539,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
88.792,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
90.275,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
91.589,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
92.879,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
107.891,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
107.914,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
109.131,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
109.311,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
124.375,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
124.398,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
125.727,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
125.897,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
140.195,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
141.502,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
193.047,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
193.070,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
193.927,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
194.092,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
199.776,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
199.799,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
200.719,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
201.625,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
206.192,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
206.291,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
207.865,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
207.915,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
220.099,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
221.278,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
223.327,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
223.493,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
249.802,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
249.870,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
251.973,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
252.823,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
266.032,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
266.055,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
267.572,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
269.035,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,1,,,START
270.213,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,1,,,STOP
272.676,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
277.535,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
277.558,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
278.864,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
282.654,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
315.307,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
315.330,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
316.837,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
317.266,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,START
318.135,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,3,,,STOP
374.831,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,6,,,START
376.969,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,6,,,STOP
376.992,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,6,,,START
378.704,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,6,,,STOP
378.727,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
432.497,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
432.520,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,7,,,START
434.847,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,7,,,STOP
434.909,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,6,,,START
436.286,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,6,,,STOP
436.527,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,START
437.184,/Users/Bryan/Downloads/Exp27-Kinect-video.mp4,1068.030,30,,2,,,STOP
