Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
39.089,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,6,,,START
42.381,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,6,,,STOP
45.001,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
54.191,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
54.744,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
60.680,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
60.868,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
72.523,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
72.668,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
81.645,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
81.800,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
183.269,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
183.935,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,3,,,START
186.201,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,3,,,STOP
186.345,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
187.403,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
187.403,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,3,,,START
188.332,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,3,,,STOP
188.800,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
221.109,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
270.585,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
277.178,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
277.178,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
282.309,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
282.443,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
288.048,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
288.071,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,START
292.962,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,STOP
293.011,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
299.898,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
300.101,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
303.077,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
303.100,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
304.341,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
304.341,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,START
306.857,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,STOP
306.880,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
307.685,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
307.742,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
310.536,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
310.560,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
318.613,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
318.636,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
322.077,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
322.131,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
323.213,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
323.213,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,START
324.829,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,STOP
325.307,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
328.109,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
328.271,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
331.355,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
331.616,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
334.148,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
334.329,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
341.532,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
341.695,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,START
345.479,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,STOP
347.251,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
350.212,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
350.275,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
365.436,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
365.591,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
372.537,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
372.957,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,START
376.682,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,STOP
376.763,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
378.624,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
378.624,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,START
381.233,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,STOP
381.367,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
385.426,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
385.555,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
389.262,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
389.344,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
390.879,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
390.979,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
393.413,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
393.702,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
396.125,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
396.290,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,START
398.842,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,5,,,STOP
399.057,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,START
400.517,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,2,,,STOP
400.517,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,START
403.239,/Users/Bryan/Downloads/Exp32-Kinect-video.mp4,996.930,30,,4,,,STOP
