Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
14.505,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
15.773,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
15.798,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,0,,,START
16.941,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,0,,,STOP
16.941,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
17.937,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
19.475,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
20.538,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
21.172,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
22.222,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
22.467,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
25.162,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
31.970,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
32.705,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
32.947,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,START
34.569,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,STOP
36.006,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,START
37.513,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,STOP
38.719,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
40.858,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
41.498,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
42.554,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
44.455,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,START
46.698,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,STOP
46.721,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
49.017,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
49.291,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
50.400,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
52.748,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
54.437,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
58.401,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
60.268,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
60.390,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
62.567,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
62.803,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
65.171,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
66.504,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
69.403,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
70.171,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
71.236,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
72.082,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,START
73.502,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,STOP
74.042,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
79.054,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
84.432,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
87.002,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
96.234,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
99.934,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
100.137,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
108.671,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
108.694,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
109.934,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
110.137,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
111.737,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
111.936,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
118.060,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
118.367,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
123.702,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
124.019,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
130.613,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
130.677,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,START
131.634,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,3,,,STOP
131.714,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
132.173,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
132.438,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
138.829,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
139.197,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
143.192,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
143.900,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
147.834,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
148.336,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
151.138,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
151.401,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
154.069,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
154.600,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
158.072,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
158.335,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,START
162.870,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,5,,,STOP
164.404,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
169.422,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,STOP
169.584,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
170.900,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
171.103,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,START
172.701,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,4,,,STOP
173.505,/Users/GundamOO/Downloads/Exp38-Kinect-video.mp4,1130.930,30,,2,,,START
