Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
3.061,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
221.414,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
222.563,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
228.873,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
232.924,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
240.980,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
260.941,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
265.200,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
267.288,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
293.840,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
296.033,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,4,,,START
298.537,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,4,,,STOP
298.560,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,4,,,START
300.226,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,4,,,STOP
303.990,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
305.823,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
306.792,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
397.784,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
436.866,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,6,,,START
440.493,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,6,,,STOP
440.617,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,1,,,START
443.292,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,1,,,STOP
443.315,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
563.734,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
564.818,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
620.301,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
620.323,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,3,,,START
621.836,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,3,,,STOP
640.065,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
643.501,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
643.833,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
647.482,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
651.076,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
864.174,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
864.947,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
972.666,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
975.038,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,4,,,START
977.199,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,4,,,STOP
977.667,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,START
1102.462,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp23-Kinect-video.mp4,1115.130,30,,2,,,STOP
