Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
32.841,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
47.459,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
47.498,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
49.321,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
49.798,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
56.239,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
56.263,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
60.262,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
61.225,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
67.380,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
69.632,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,START
71.567,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,STOP
75.871,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
77.676,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
77.912,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,5,,,START
82.034,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,5,,,STOP
86.188,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
114.170,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
116.713,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
147.171,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
149.914,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
151.001,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
155.235,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
160.470,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
160.470,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
163.044,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
163.925,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
170.670,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
171.430,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
174.800,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
174.812,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
184.103,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
184.892,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
187.700,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
188.909,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
195.534,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
196.711,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
205.133,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
205.145,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
211.335,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
273.417,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
275.904,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
276.667,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
279.635,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
279.870,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
281.785,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
282.379,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,START
283.301,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,STOP
283.313,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
319.602,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
319.614,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
328.170,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
328.615,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,START
329.432,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,STOP
332.779,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
343.466,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
347.266,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
353.768,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
353.950,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
356.807,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
356.819,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,3,,,START
358.801,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,3,,,STOP
359.050,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,START
361.018,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,STOP
361.292,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,START
363.579,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,2,,,STOP
363.591,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,3,,,START
366.105,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,3,,,STOP
366.117,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,START
370.734,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,STOP
373.345,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,START
378.669,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,1,,,STOP
378.681,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,START
379.901,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp40-Kinect-video.mp4,1126.800,30.0,,4,,,STOP
