Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
7.978,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
20.219,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
20.367,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
21.470,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
22.215,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
41.045,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
43.579,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
46.095,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
46.095,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
47.731,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
47.805,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
52.949,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
53.131,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
53.998,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
54.602,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
56.013,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
56.137,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,START
57.712,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,STOP
57.870,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
61.005,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
61.660,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
62.703,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
62.775,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,START
64.049,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,STOP
65.468,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,START
68.709,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,STOP
68.866,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
69.848,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
69.923,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
73.997,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
73.997,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
74.675,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
74.860,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
80.725,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
81.100,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
86.797,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
87.104,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
88.017,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
88.446,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,4,,,START
91.120,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,4,,,STOP
91.343,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
94.746,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
96.214,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,START
97.500,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,3,,,STOP
98.240,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,START
100.796,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,STOP
101.157,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,START
105.730,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,STOP
106.893,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,START
111.124,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,2,,,STOP
112.939,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,START
114.884,/Users/Bryan/Downloads/Exp30-Kinect-video.mp4,1111.500,30,,5,,,STOP
