Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
30.983,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
193.828,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
238.028,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,1,,,START
241.293,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,1,,,STOP
241.493,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
248.395,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
248.418,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,3,,,START
249.340,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,3,,,STOP
249.903,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
255.150,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
255.418,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,1,,,START
269.071,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,1,,,STOP
269.897,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
273.034,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
275.703,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
435.541,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
448.643,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
606.416,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
609.943,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
622.250,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
622.273,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,3,,,START
624.831,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,3,,,STOP
672.827,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,1,,,START
676.028,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,1,,,STOP
676.304,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
697.590,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
700.113,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,START
879.201,/Users/Bryan/Downloads/Exp33-Kinect-video.mp4,882.800,30,,2,,,STOP
