Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
14.483,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,START
17.962,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,STOP
22.669,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,START
24.109,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,STOP
25.011,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,START
26.141,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,STOP
26.647,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,START
27.979,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,STOP
29.310,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,START
30.886,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,STOP
36.217,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,START
37.834,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,STOP
39.385,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,START
40.977,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,STOP
42.467,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,START
43.480,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,STOP
43.503,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,START
45.202,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,3,,,STOP
45.235,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,START
48.063,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,STOP
48.219,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,START
49.543,/Users/Bryan/Documents/Repositories/intuitive-robot-navigation/src/data/videos/Exp21-Kinect-video.mp4,1062.030,30,,2,,,STOP
