Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
14.690,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,0,,,START
15.815,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,0,,,STOP
15.950,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
17.101,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
18.030,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
18.481,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
18.615,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,START
19.639,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,STOP
20.670,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
26.273,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
26.853,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,START
28.227,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,STOP
28.637,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
32.439,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
32.975,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
36.239,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
36.262,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,START
37.836,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,STOP
37.865,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
41.331,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
41.482,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,START
42.946,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,STOP
43.128,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
51.139,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
51.456,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,START
52.609,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,STOP
52.881,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
55.329,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,STOP
55.464,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,START
57.580,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,3,,,STOP
57.737,/Users/Bryan/Downloads/Exp37-Kinect-video.mp4,1235.670,30,,2,,,START
